id,original,neural,old_hybrid,gold,rule_ids,old_decision,new_decision
6:1,ජනාධිපතිවරයා ඊයේ රාත්‍රී ජාතිය අමතා කතා කරනවා.,ජනාධිපතිවරයා ඊයේ රාත්‍රී ජාතිය අමතා කතා කළා.,ජනාධිපතිවරයා ඊයේ රාත්‍රී ජාතිය අමතා කතා කරනවා.,ජනාධිපතිවරයා ඊයේ රාත්‍රී ජාතිය අමතා කතා කළා.,VERB_TENSE_001;SEMANTIC_TENSE_001,SUGGEST,WARN/APPLY
10:1,රජය ඊයේ නව ව්‍යාපෘතියේ සිව්වන අදියර ප්‍රකාශයට පත් කරනවා.,රජය ඊයේ නව ව්‍යාපෘතියේ සිව්වන අදියර ප්‍රකාශයට පත් කළා.,රජය ඊයේ නව ව්‍යාපෘතියේ සිව්වන අදියර ප්‍රකාශයට පත් කරනවා.,රජය ඊයේ නව ව්‍යාපෘතියේ සිව්වන අදියර ප්‍රකාශයට පත් කළා.,VERB_TENSE_001;SEMANTIC_TENSE_001,SUGGEST,WARN/APPLY
11:1,ජනාධිපතිවරයා ප්‍රකාශය නිකුත් කළා ජාතිය අමතා.,ජනාධිපතිවරයා ජාතිය අමතා ප්‍රකාශය නිකුත් කළා.,ජනාධිපතිවරයා ප්‍රකාශය නිකුත් කළා ජාතිය අමතා.,ජනාධිපතිවරයා ජාතිය අමතා ප්‍රකාශය නිකුත් කළා.,SEMANTIC_EDIT_SIZE_001,SUGGEST,WARN/APPLY
12:1,රාජ්‍ය ආයතනය ජනතාවට සහනය ලබාදෙන්නේය නව ව්‍යාපෘතිය හරහා.,රාජ්‍ය ආයතනය නව ව්‍යාපෘතිය හරහා ජනතාවට සහනය ලබාදෙන්නේය.,රාජ්‍ය ආයතනය ජනතාවට සහනය ලබාදෙන්නේය නව ව්‍යාපෘතිය හරහා.,රාජ්‍ය ආයතනය නව ව්‍යාපෘතිය හරහා ජනතාවට සහනය ලබාදෙන්නේය.,ORTH_ZWJ_001,SUGGEST,WARN/APPLY
14:1,කොමිසම නිර්දේශ ජනාධිපතිවරයාට ලබා දෙනවා ලබන සතියේ.,කොමිසම ලබන සතියේ නිර්දේශ ජනාධිපතිවරයාට ලබා දෙනවා.,කොමිසම නිර්දේශ ජනාධිපතිවරයාට ලබා දෙනවා ලබන සතියේ.,කොමිසම ලබන සතියේ නිර්දේශ ජනාධිපතිවරයාට ලබා දෙනවා.,SEMANTIC_EDIT_SIZE_001,SUGGEST,WARN/APPLY
23:1,ආණ්ඩුව ජනතාවට ඒ ගැන දැනුම් දීමට නොකළේ නෑ.,ආණ්ඩුව ජනතාවට ඒ ගැන දැනුම් දීමට නොකළේ නැහැ.,ආණ්ඩුව ජනතාවට ඒ ගැන දැනුම් දීමට නොකළේ නෑ.,ආණ්ඩුව ජනතාවට ඒ ගැන දැනුම් දීමට නොකළේ නැහැ.,REGISTER_CONTEXT_001,SUGGEST,WARN/APPLY
28:1,නායකයෝ ගිය සතියේ ජාතික ප්‍රශ්නය ගැන සාකච්ඡා කරනවා.,නායකයෝ ගිය සතියේ ජාතික ප්‍රශ්නය ගැන සාකච්ඡා කළෝය.,නායකයෝ ගිය සතියේ ජාතික ප්‍රශ්නය ගැන සාකච්ඡා කරනවා.,නායකයෝ ගිය සතියේ ජාතික ප්‍රශ්නය ගැන සාකච්ඡා කළෝය.,VERB_TENSE_001;SEMANTIC_TENSE_001,SUGGEST,WARN/APPLY
31:1,අග්‍රාමාත්‍යවරයා කිව්වා නව ව්‍යාපෘතිය ජනතාවට ප්‍රතිලාභ ලබාදෙනවා කියලා.,අග්‍රාමාත්‍යවරයා කිව්වේ නව ව්‍යාපෘතිය ජනතාවට ප්‍රතිලාභ ලබාදෙනවා කියලා.,අග්‍රාමාත්‍යවරයා කිව්වා නව ව්‍යාපෘතිය ජනතාවට ප්‍රතිලාභ ලබාදෙනවා කියලා.,අග්‍රාමාත්‍යවරයා කිව්වේ නව ව්‍යාපෘතිය ජනතාවට ප්‍රතිලාභ ලබාදෙන බවයි.,REGISTER_CONTEXT_001,SUGGEST,WARN/APPLY
36:1,ජනාධිපතිතුමාගෙ ප්‍රකාශය ජාතිය ඇමතීමේදී ලබා දෙනු ලැබිණ.,ජනාධිපතිතුමාගේ ප්‍රකාශය ජාතිය ඇමතීමේදී ලබා දෙනු ලැබිණ.,ජනාධිපතිතුමාගෙ ප්‍රකාශය ජාතිය ඇමතීමේදී ලබා දෙනු ලැබිණ.,ජනාධිපතිතුමාගේ ප්‍රකාශය ජාතිය ඇමතීමේදී ලබා දෙනු ලැබිණ.,HONORIFIC_CONTEXT_001,SUGGEST,WARN/APPLY
58:5,ශ්‍රී ලංකා කණ්ඩායම ඊයේ රාත්‍රී පැවැත්වුනු තරඟයෙන් විශිෂ්ඨ ජයක් ලැබූහ. නායකයා පැවසුවේ සියළුම ක්‍රීඩකයන් හොදින් ක්‍රීඩා කල බවයි. මෙම ජයග්‍රහනය රටට ඉතා වැදගත් වේ.,ශ්‍රී ලංකා කණ්ඩායම ඊයේ රාත්‍රී පැවැත්වුණු තරඟයෙන් විශිෂ්ට ජයක් ලැබූහ. නායකයා පැවසුවේ සියලුම ක්‍රීඩකයන් හොඳින් ක්‍රීඩා කළ බවයි. මෙම ජයග්‍රහණය රටට ඉතා වැදගත් වේ.,ශ්‍රී ලංකා කණ්ඩායම ඊයේ රාත්‍රී පැවැත්වුණු තරඟයෙන් විශිෂ්ට ජයක් ලැබූහ. නායකයා පැවසුවේ සියලුම ක්‍රීඩකයන් හොඳින් ක්‍රීඩා කල බවයි. මෙම ජයග්‍රහණය රටට ඉතා වැදගත් වේ.,ශ්‍රී ලංකා කණ්ඩායම ඊයේ රාත්‍රී පැවැත්වුණු තරඟයෙන් විශිෂ්ට ජයක් ලැබූහ. නායකයා පැවසුවේ සියලුම ක්‍රීඩකයන් හොඳින් ක්‍රීඩා කළ බවයි. මෙම ජයග්‍රහණය රටට ඉතා වැදගත් වේ.,AMBIG_KEEP_001,SUGGEST,WARN/APPLY
